[2023-12-05 14:24:48,275] Filepath does not exist: ./models_dens2/best.h5
[2023-12-05 14:24:48,275] Initializing new model
[2023-12-05 14:32:29,452] Epoch 231, Loss 33.93004608154297, Lr: 0.00100000
[2023-12-05 14:32:32,025] Epoch 232, Loss 59.66756057739258, Lr: 0.00100000
[2023-12-05 14:32:32,933] Epoch 233, Loss 60.79637908935547, Lr: 0.00100000
[2023-12-05 14:32:35,305] Epoch 234, Loss 37.10881042480469, Lr: 0.00100000
[2023-12-05 14:32:36,409] Epoch 235, Loss 83.00982666015625, Lr: 0.00100000
[2023-12-05 14:32:36,981] Epoch 236, Loss 9.004298210144043, Lr: 0.00100000
[2023-12-05 14:32:37,552] Epoch 237, Loss 9.890317916870117, Lr: 0.00100000
[2023-12-05 14:32:38,184] Epoch 238, Loss 10.537684440612793, Lr: 0.00100000
[2023-12-05 14:32:39,497] Epoch 239, Loss 16.833080291748047, Lr: 0.00100000
[2023-12-05 14:32:41,184] Epoch 240, Loss 27.088592529296875, Lr: 0.00100000
[2023-12-05 14:32:41,672] Epoch 241, Loss 10.531143188476562, Lr: 0.00100000
[2023-12-05 14:32:43,256] Epoch 242, Loss 14.77982234954834, Lr: 0.00100000
[2023-12-05 14:32:43,849] Epoch 243, Loss 8.868974685668945, Lr: 0.00100000
[2023-12-05 14:32:46,627] Epoch 244, Loss 96.376708984375, Lr: 0.00100000
[2023-12-05 14:32:47,416] Epoch 245, Loss 23.587017059326172, Lr: 0.00100000
[2023-12-05 14:32:52,109] Epoch 246, Loss 35.258827209472656, Lr: 0.00100000
[2023-12-05 14:32:53,069] Epoch 247, Loss 28.945173263549805, Lr: 0.00100000
[2023-12-05 14:32:53,857] Epoch 248, Loss 10.453466415405273, Lr: 0.00100000
[2023-12-05 14:32:55,279] Epoch 249, Loss 29.76862335205078, Lr: 0.00100000
[2023-12-05 14:32:56,438] Epoch 250, Loss 24.262805938720703, Lr: 0.00100000
[2023-12-05 14:34:43,692] ./models_dens2/epoch_250.h5 is saved as the latest model
[2023-12-05 14:34:45,098] Epoch 251, Loss 38.13164138793945, Lr: 0.00100000
[2023-12-05 14:34:49,802] Epoch 252, Loss 119.1340103149414, Lr: 0.00100000
[2023-12-05 14:34:52,022] Epoch 253, Loss 57.34164810180664, Lr: 0.00100000
[2023-12-05 14:34:54,425] Epoch 254, Loss 36.568809509277344, Lr: 0.00100000
[2023-12-05 14:34:55,694] Epoch 255, Loss 32.34843444824219, Lr: 0.00100000
[2023-12-05 14:34:59,193] Epoch 256, Loss 141.13131713867188, Lr: 0.00100000
[2023-12-05 14:35:01,252] Epoch 257, Loss 92.41576385498047, Lr: 0.00100000
[2023-12-05 14:35:04,339] Epoch 258, Loss 88.00984191894531, Lr: 0.00100000
[2023-12-05 14:35:05,397] Epoch 259, Loss 23.904312133789062, Lr: 0.00100000
[2023-12-05 14:35:07,398] Epoch 260, Loss 82.44499206542969, Lr: 0.00100000
[2023-12-05 14:35:12,446] Epoch 261, Loss 4.46231746673584, Lr: 0.00100000
[2023-12-05 14:35:16,042] Epoch 262, Loss 102.40055847167969, Lr: 0.00100000
[2023-12-05 14:35:21,847] Epoch 263, Loss 7.755025386810303, Lr: 0.00100000
[2023-12-05 14:35:26,939] Epoch 264, Loss 4.590468883514404, Lr: 0.00100000
[2023-12-05 14:35:27,565] Epoch 265, Loss 11.511585235595703, Lr: 0.00100000
[2023-12-05 14:35:28,124] Epoch 266, Loss 10.492899894714355, Lr: 0.00100000
[2023-12-05 14:35:31,151] Epoch 267, Loss 125.95038604736328, Lr: 0.00100000
[2023-12-05 14:35:31,915] Epoch 268, Loss 24.89104652404785, Lr: 0.00100000
[2023-12-05 14:35:37,244] Epoch 269, Loss 4.789332389831543, Lr: 0.00100000
[2023-12-05 14:35:37,865] Epoch 270, Loss 12.758082389831543, Lr: 0.00100000
[2023-12-05 14:35:39,061] Epoch 271, Loss 27.45503044128418, Lr: 0.00100000
[2023-12-05 14:35:44,752] Epoch 272, Loss 3.991657018661499, Lr: 0.00100000
[2023-12-05 14:35:45,460] Epoch 273, Loss 20.111356735229492, Lr: 0.00100000
[2023-12-05 14:35:46,551] Epoch 274, Loss 61.46807861328125, Lr: 0.00100000
[2023-12-05 14:35:47,687] Epoch 275, Loss 27.695436477661133, Lr: 0.00100000
[2023-12-05 14:35:50,046] Epoch 276, Loss 25.942726135253906, Lr: 0.00100000
[2023-12-05 14:35:50,880] Epoch 277, Loss 25.782039642333984, Lr: 0.00100000
[2023-12-05 14:35:51,486] Epoch 278, Loss 14.90693187713623, Lr: 0.00100000
[2023-12-05 14:35:55,244] Epoch 279, Loss 153.942138671875, Lr: 0.00100000
[2023-12-05 14:35:58,514] Epoch 280, Loss 110.75760650634766, Lr: 0.00100000
[2023-12-05 14:36:01,111] Epoch 281, Loss 60.80877685546875, Lr: 0.00100000
[2023-12-05 14:36:05,381] Epoch 282, Loss 67.3817138671875, Lr: 0.00100000
[2023-12-05 14:36:07,215] Epoch 283, Loss 46.58795928955078, Lr: 0.00100000
[2023-12-05 14:36:10,086] Epoch 284, Loss 134.82139587402344, Lr: 0.00100000
[2023-12-05 14:36:11,849] Epoch 285, Loss 31.272136688232422, Lr: 0.00100000
[2023-12-05 14:36:14,023] Epoch 286, Loss 42.99052810668945, Lr: 0.00100000
[2023-12-05 14:36:17,363] Epoch 287, Loss 93.3006362915039, Lr: 0.00100000
[2023-12-05 14:36:19,357] Epoch 288, Loss 39.55318069458008, Lr: 0.00100000
[2023-12-05 14:36:21,128] Epoch 289, Loss 48.09715270996094, Lr: 0.00100000
[2023-12-05 14:36:21,708] Epoch 290, Loss 12.252861976623535, Lr: 0.00100000
