[2023-12-14 21:40:02,494] Filepath does not exist: _conv/models/best.h5
[2023-12-14 21:40:02,496] Initializing new model
[2023-12-14 21:49:26,453] Epoch: 350 to 400, Batch: 68.75%, Mean Reward: -0.52, MSE: 0.94971, LR: 0.00543
[2023-12-14 21:49:27,888] Epoch: 350 to 400, Batch: 75.00%, Mean Reward: -0.28, MSE: 0.89967, LR: 0.00540
[2023-12-14 21:49:29,303] Epoch: 350 to 400, Batch: 81.25%, Mean Reward: -0.68, MSE: 0.99310, LR: 0.00537
[2023-12-14 21:49:30,730] Epoch: 350 to 400, Batch: 87.50%, Mean Reward: -0.36, MSE: 0.91782, LR: 0.00534
[2023-12-14 21:49:32,189] Epoch: 350 to 400, Batch: 93.75%, Mean Reward: -0.04, MSE: 0.84564, LR: 0.00532
[2023-12-14 21:49:33,603] Epoch: 350 to 400, Batch: 100.00%, Mean Reward: -0.52, MSE: 0.95139, LR: 0.00529
[2023-12-14 21:50:22,825] Epoch: 400 to 450, Batch: 6.25%, Mean Reward: -0.28, MSE: 0.89347, LR: 0.00526
[2023-12-14 21:50:24,207] Epoch: 400 to 450, Batch: 12.50%, Mean Reward: -0.52, MSE: 0.95693, LR: 0.00524
[2023-12-14 21:50:25,571] Epoch: 400 to 450, Batch: 18.75%, Mean Reward: -0.28, MSE: 0.90220, LR: 0.00521
[2023-12-14 21:50:27,061] Epoch: 400 to 450, Batch: 25.00%, Mean Reward: -0.44, MSE: 0.93417, LR: 0.00519
[2023-12-14 21:50:28,500] Epoch: 400 to 450, Batch: 31.25%, Mean Reward: -0.44, MSE: 0.93206, LR: 0.00516
[2023-12-14 21:50:29,964] Epoch: 400 to 450, Batch: 37.50%, Mean Reward: -0.28, MSE: 0.90008, LR: 0.00513
[2023-12-14 21:50:31,406] Epoch: 400 to 450, Batch: 43.75%, Mean Reward: -0.28, MSE: 0.89888, LR: 0.00511
[2023-12-14 21:50:32,867] Epoch: 400 to 450, Batch: 50.00%, Mean Reward: -0.36, MSE: 0.91987, LR: 0.00508
[2023-12-14 21:50:34,350] Epoch: 400 to 450, Batch: 56.25%, Mean Reward: -0.20, MSE: 0.88407, LR: 0.00506
[2023-12-14 21:50:35,802] Epoch: 400 to 450, Batch: 62.50%, Mean Reward: -0.36, MSE: 0.91625, LR: 0.00503
[2023-12-14 21:50:37,177] Epoch: 400 to 450, Batch: 68.75%, Mean Reward: -0.52, MSE: 0.95407, LR: 0.00501
[2023-12-14 21:50:38,568] Epoch: 400 to 450, Batch: 75.00%, Mean Reward: -0.52, MSE: 0.95323, LR: 0.00498
[2023-12-14 21:50:39,910] Epoch: 400 to 450, Batch: 81.25%, Mean Reward: -0.76, MSE: 0.99929, LR: 0.00496
[2023-12-14 21:50:41,404] Epoch: 400 to 450, Batch: 87.50%, Mean Reward: -0.20, MSE: 0.88720, LR: 0.00493
[2023-12-14 21:50:42,864] Epoch: 400 to 450, Batch: 93.75%, Mean Reward: -0.36, MSE: 0.92217, LR: 0.00491
[2023-12-14 21:50:44,264] Epoch: 400 to 450, Batch: 100.00%, Mean Reward: -0.28, MSE: 0.89970, LR: 0.00488
