[2023-11-28 09:36:07,660] File ./models_wzlen/best.h5 does not exist
[2023-11-28 10:00:44,388] Epoch 176, Loss 17.562885284423828
[2023-11-28 10:00:45,631] Epoch 177, Loss 3.227970600128174
[2023-11-28 10:00:47,835] Epoch 178, Loss 3.41831111907959
[2023-11-28 10:00:49,796] Epoch 179, Loss 19.235401153564453
[2023-11-28 10:00:50,786] Epoch 180, Loss 9.66964054107666
[2023-11-28 10:00:52,325] Epoch 181, Loss 2.2333903312683105
[2023-11-28 10:00:54,691] Epoch 182, Loss 36.789920806884766
[2023-11-28 10:00:57,401] Epoch 183, Loss 4.187374114990234
[2023-11-28 10:00:58,788] Epoch 184, Loss 1.7998548746109009
[2023-11-28 10:01:00,198] Epoch 185, Loss 18.840028762817383
[2023-11-28 10:01:02,668] Epoch 186, Loss 4.932750225067139
[2023-11-28 10:01:04,599] Epoch 187, Loss 1.9069572687149048
[2023-11-28 10:01:06,684] Epoch 188, Loss 1.462625503540039
[2023-11-28 10:01:09,057] Epoch 189, Loss 69.98772430419922
[2023-11-28 10:01:10,040] Epoch 190, Loss 17.726537704467773
[2023-11-28 10:01:11,312] Epoch 191, Loss 1.9521080255508423
[2023-11-28 10:01:12,518] Epoch 192, Loss 0.744744598865509
[2023-11-28 10:01:13,879] Epoch 193, Loss 10.601597785949707
[2023-11-28 10:01:15,106] Epoch 194, Loss 1.9122177362442017
[2023-11-28 10:01:16,315] Epoch 195, Loss 18.241809844970703
[2023-11-28 10:01:18,092] Epoch 196, Loss 17.721147537231445
[2023-11-28 10:01:21,268] Epoch 197, Loss 46.624755859375
[2023-11-28 10:01:22,347] Epoch 198, Loss 27.66805076599121
[2023-11-28 10:01:23,639] Epoch 199, Loss 19.125455856323242
[2023-11-28 10:01:25,347] Epoch 200, Loss 19.590843200683594
[2023-11-28 10:01:25,347] Saved model at ./models_wzlen/epoch_200.h5
[2023-11-28 10:01:25,348] Loaded existing model at ./models_wzlen/epoch_200.h5
[2023-11-28 10:03:10,829] Saved model at ./models_wzlen/best.h5
[2023-11-28 10:03:10,829] ./models_wzlen/epoch_200.h5 is saved as the strongest model
[2023-11-28 10:05:05,750] Loaded existing model at ./models_wzlen/best.h5
[2023-11-28 10:05:07,168] Epoch 201, Loss 19.93659782409668
[2023-11-28 10:05:08,976] Epoch 202, Loss 2.1430962085723877
[2023-11-28 10:05:10,291] Epoch 203, Loss 18.347841262817383
[2023-11-28 10:05:11,733] Epoch 204, Loss 17.453083038330078
[2023-11-28 10:05:12,044] Epoch 205, Loss 0.5962486863136292
[2023-11-28 10:05:14,392] Epoch 206, Loss 21.848005294799805
[2023-11-28 10:05:14,913] Epoch 207, Loss 17.429290771484375
[2023-11-28 10:05:16,568] Epoch 208, Loss 18.685216903686523
