[2023-11-28 11:35:35,055] File ./models_wzno/best.h5 does not exist
[2023-11-28 11:44:43,111] Epoch 340, Loss 18.00576400756836
[2023-11-28 11:44:44,935] Epoch 341, Loss 18.832637786865234
[2023-11-28 11:44:45,802] Epoch 342, Loss 19.082372665405273
[2023-11-28 11:44:47,430] Epoch 343, Loss 18.54905128479004
[2023-11-28 11:44:51,156] Epoch 344, Loss 38.082401275634766
[2023-11-28 11:44:53,259] Epoch 345, Loss 35.95478439331055
[2023-11-28 11:44:54,863] Epoch 346, Loss 26.12501335144043
[2023-11-28 11:44:56,931] Epoch 347, Loss 26.26304817199707
[2023-11-28 11:44:58,245] Epoch 348, Loss 4.461363792419434
[2023-11-28 11:44:59,976] Epoch 349, Loss 1.3385601043701172
[2023-11-28 11:45:00,541] Epoch 350, Loss 0.7078208327293396
[2023-11-28 11:45:00,541] Saved model at ./models_wzno/epoch_350.h5
[2023-11-28 11:45:02,479] Epoch 351, Loss 20.315706253051758
[2023-11-28 11:45:04,233] Epoch 352, Loss 19.277467727661133
[2023-11-28 11:45:06,467] Epoch 353, Loss 27.476213455200195
[2023-11-28 11:45:07,009] Epoch 354, Loss 17.46327781677246
[2023-11-28 11:45:08,202] Epoch 355, Loss 9.220410346984863
[2023-11-28 11:45:10,316] Epoch 356, Loss 1.0500136613845825
[2023-11-28 11:45:11,154] Epoch 357, Loss 26.31573486328125
[2023-11-28 11:45:11,504] Epoch 358, Loss 0.1928325891494751
[2023-11-28 11:45:14,638] Epoch 359, Loss 39.1895751953125
[2023-11-28 11:45:15,198] Epoch 360, Loss 0.4892653524875641
[2023-11-28 11:45:17,482] Epoch 361, Loss 1.0736205577850342
[2023-11-28 11:45:18,607] Epoch 362, Loss 9.778542518615723
[2023-11-28 11:45:19,438] Epoch 363, Loss 17.676631927490234
[2023-11-28 11:45:20,987] Epoch 364, Loss 35.29278564453125
[2023-11-28 11:45:21,884] Epoch 365, Loss 0.9516502618789673
[2023-11-28 11:45:23,034] Epoch 366, Loss 0.9124688506126404
[2023-11-28 11:45:25,478] Epoch 367, Loss 18.678693771362305
[2023-11-28 11:45:27,494] Epoch 368, Loss 18.381587982177734
[2023-11-28 11:45:29,702] Epoch 369, Loss 55.349464416503906
[2023-11-28 11:45:31,496] Epoch 370, Loss 1.0656300783157349
[2023-11-28 11:45:33,095] Epoch 371, Loss 9.064945220947266
[2023-11-28 11:45:35,530] Epoch 372, Loss 36.9209098815918
[2023-11-28 11:45:36,939] Epoch 373, Loss 18.66257667541504
[2023-11-28 11:45:37,911] Epoch 374, Loss 8.812255859375
[2023-11-28 11:45:39,758] Epoch 375, Loss 19.01166534423828
[2023-11-28 11:45:42,086] Epoch 376, Loss 11.546459197998047
[2023-11-28 11:45:42,810] Epoch 377, Loss 9.462381362915039
[2023-11-28 11:45:44,326] Epoch 378, Loss 2.929831027984619
[2023-11-28 11:45:45,534] Epoch 379, Loss 9.355551719665527
[2023-11-28 11:45:47,019] Epoch 380, Loss 0.7204165458679199
[2023-11-28 11:45:48,896] Epoch 381, Loss 44.67048645019531
[2023-11-28 11:45:50,439] Epoch 382, Loss 3.005429744720459
[2023-11-28 11:45:51,053] Epoch 383, Loss 0.4937472939491272
