[2023-12-04 16:15:59,912] Filepath does not exist: ./models_conv/best.h5
[2023-12-04 16:15:59,912] Initializing new model
[2023-12-04 16:28:53,008] Epoch 345, Loss 38.35234451293945
[2023-12-04 16:28:53,651] Epoch 346, Loss 26.825531005859375
[2023-12-04 16:28:54,879] Epoch 347, Loss 14.636409759521484
[2023-12-04 16:28:55,258] Epoch 348, Loss 22.983261108398438
[2023-12-04 16:28:55,937] Epoch 349, Loss 7.748691082000732
[2023-12-04 16:28:56,504] Epoch 350, Loss 6.887726306915283
[2023-12-04 16:30:16,350] ./models_conv/epoch_350.h5 is saved as the latest model
[2023-12-04 16:30:18,055] Epoch 351, Loss 18.080278396606445
[2023-12-04 16:30:18,556] Epoch 352, Loss 7.748692035675049
[2023-12-04 16:30:19,388] Epoch 353, Loss 34.51005554199219
[2023-12-04 16:30:20,185] Epoch 354, Loss 34.51005172729492
[2023-12-04 16:30:21,355] Epoch 355, Loss 40.27345275878906
[2023-12-04 16:30:21,962] Epoch 356, Loss 26.82550621032715
[2023-12-04 16:30:23,100] Epoch 357, Loss 12.053521156311035
[2023-12-04 16:30:23,719] Epoch 358, Loss 32.588890075683594
[2023-12-04 16:30:24,882] Epoch 359, Loss 42.19455337524414
[2023-12-04 16:30:25,346] Epoch 360, Loss 22.98321533203125
[2023-12-04 16:30:26,247] Epoch 361, Loss 10.331597328186035
[2023-12-04 16:30:26,829] Epoch 362, Loss 28.74659538269043
[2023-12-04 16:30:27,489] Epoch 363, Loss 30.667724609375
[2023-12-04 16:30:27,761] Epoch 364, Loss 21.062047958374023
[2023-12-04 16:30:28,617] Epoch 365, Loss 10.331597328186035
[2023-12-04 16:30:29,187] Epoch 366, Loss 6.026766300201416
[2023-12-04 16:30:29,932] Epoch 367, Loss 8.609667778015137
[2023-12-04 16:30:30,280] Epoch 368, Loss 6.887738227844238
[2023-12-04 16:30:31,237] Epoch 369, Loss 11.192570686340332
[2023-12-04 16:30:32,229] Epoch 370, Loss 12.914505004882812
[2023-12-04 16:30:33,564] Epoch 371, Loss 42.1944694519043
[2023-12-04 16:30:34,029] Epoch 372, Loss 6.887736797332764
[2023-12-04 16:30:34,648] Epoch 373, Loss 28.746532440185547
[2023-12-04 16:30:35,573] Epoch 374, Loss 12.914508819580078
[2023-12-04 16:30:36,511] Epoch 375, Loss 10.331612586975098
[2023-12-04 16:30:37,340] Epoch 376, Loss 8.609670639038086
[2023-12-04 16:30:37,566] Epoch 377, Loss 5.165806293487549
[2023-12-04 16:30:37,794] Epoch 378, Loss 3.443871021270752
[2023-12-04 16:30:39,219] Epoch 379, Loss 47.957828521728516
[2023-12-04 16:30:39,865] Epoch 380, Loss 26.82538604736328
[2023-12-04 16:30:40,924] Epoch 381, Loss 38.3521614074707
[2023-12-04 16:30:41,945] Epoch 382, Loss 34.5098991394043
[2023-12-04 16:30:42,627] Epoch 383, Loss 8.6096773147583
