[2023-12-02 22:46:17,007] Filepath does not exist: ./models_dens/best.h5
[2023-12-02 22:46:17,007] Initializing new model
[2023-12-02 22:56:52,933] Epoch 218, Loss 17.9125919342041
[2023-12-02 22:56:54,636] Epoch 219, Loss 54.90922927856445
[2023-12-02 22:56:56,008] Epoch 220, Loss 27.37668228149414
[2023-12-02 22:56:56,688] Epoch 221, Loss 11.002209663391113
[2023-12-02 22:56:57,844] Epoch 222, Loss 27.01498794555664
[2023-12-02 22:56:58,849] Epoch 223, Loss 17.61806869506836
[2023-12-02 22:56:59,871] Epoch 224, Loss 25.96196937561035
[2023-12-02 22:57:02,277] Epoch 225, Loss 59.89551544189453
[2023-12-02 22:57:03,118] Epoch 226, Loss 19.302316665649414
[2023-12-02 22:57:03,685] Epoch 227, Loss 8.387459754943848
[2023-12-02 22:57:04,934] Epoch 228, Loss 54.03049087524414
[2023-12-02 22:57:06,404] Epoch 229, Loss 36.93410873413086
[2023-12-02 22:57:08,706] Epoch 230, Loss 69.1690673828125
[2023-12-02 22:57:09,203] Epoch 231, Loss 8.185551643371582
[2023-12-02 22:57:09,788] Epoch 232, Loss 12.363871574401855
[2023-12-02 22:57:11,635] Epoch 233, Loss 23.482336044311523
[2023-12-02 22:57:12,702] Epoch 234, Loss 18.168386459350586
[2023-12-02 22:57:13,757] Epoch 235, Loss 131.13812255859375
[2023-12-02 22:57:14,996] Epoch 236, Loss 18.943052291870117
[2023-12-02 22:57:15,297] Epoch 237, Loss 9.45936107635498
[2023-12-02 22:57:16,246] Epoch 238, Loss 17.187341690063477
[2023-12-02 22:57:17,677] Epoch 239, Loss 33.8817024230957
[2023-12-02 22:57:18,186] Epoch 240, Loss 9.153290748596191
[2023-12-02 22:57:18,991] Epoch 241, Loss 18.910449981689453
[2023-12-02 22:57:20,264] Epoch 242, Loss 20.88094139099121
[2023-12-02 22:57:22,259] Epoch 243, Loss 60.49154281616211
[2023-12-02 22:57:24,750] Epoch 244, Loss 5.440976142883301
[2023-12-02 22:57:26,372] Epoch 245, Loss 49.51199722290039
[2023-12-02 22:57:27,785] Epoch 246, Loss 17.39234733581543
[2023-12-02 22:57:28,904] Epoch 247, Loss 17.98139190673828
[2023-12-02 22:57:29,827] Epoch 248, Loss 27.61438751220703
[2023-12-02 22:57:31,358] Epoch 249, Loss 68.37982177734375
[2023-12-02 22:57:31,747] Epoch 250, Loss 6.482039928436279
[2023-12-02 22:59:42,654] ./models_dens/epoch_250.h5 is saved as the latest model
[2023-12-02 22:59:43,613] Epoch 251, Loss 18.850759506225586
[2023-12-02 22:59:45,008] Epoch 252, Loss 27.290149688720703
[2023-12-02 22:59:46,878] Epoch 253, Loss 24.6259822845459
[2023-12-02 22:59:48,054] Epoch 254, Loss 48.91808319091797
[2023-12-02 22:59:49,098] Epoch 255, Loss 24.869781494140625
[2023-12-02 22:59:51,175] Epoch 256, Loss 93.39546966552734
[2023-12-02 22:59:52,651] Epoch 257, Loss 48.666656494140625
[2023-12-02 22:59:53,330] Epoch 258, Loss 9.096596717834473
[2023-12-02 22:59:54,082] Epoch 259, Loss 11.76040267944336
[2023-12-02 22:59:55,515] Epoch 260, Loss 20.40374183654785
[2023-12-02 22:59:56,575] Epoch 261, Loss 14.39006233215332
[2023-12-02 22:59:57,604] Epoch 262, Loss 23.155059814453125
