[2023-12-06 12:01:30,664] Filepath does not exist: _dens/models/best.h5
[2023-12-06 12:01:30,664] Initializing new model
[2023-12-06 12:45:53,637] Epoch: 189, MSE: 0.8023638129234314, Reward: 1, LR: 0.00151
[2023-12-06 12:46:06,049] Epoch: 190, MSE: 0.8292849659919739, Reward: -1, LR: 0.00150
[2023-12-06 12:46:23,639] Epoch: 191, MSE: 0.7926310300827026, Reward: 1, LR: 0.00148
[2023-12-06 12:46:39,888] Epoch: 192, MSE: 0.7906512022018433, Reward: 1, LR: 0.00147
[2023-12-06 12:47:00,627] Epoch: 193, MSE: 0.7975245118141174, Reward: 1, LR: 0.00145
[2023-12-06 12:47:11,628] Epoch: 194, MSE: 0.8333738446235657, Reward: -1, LR: 0.00144
[2023-12-06 12:47:23,061] Epoch: 195, MSE: 0.7852330803871155, Reward: 1, LR: 0.00142
[2023-12-06 12:47:34,150] Epoch: 196, MSE: 0.8370277285575867, Reward: -1, LR: 0.00141
[2023-12-06 12:47:46,045] Epoch: 197, MSE: 0.8363064527511597, Reward: -1, LR: 0.00139
[2023-12-06 12:48:01,395] Epoch: 198, MSE: 0.8342624306678772, Reward: -1, LR: 0.00138
[2023-12-06 12:48:14,499] Epoch: 199, MSE: 0.8339329361915588, Reward: -1, LR: 0.00137
[2023-12-06 12:48:27,516] Epoch: 200, MSE: 0.7827328443527222, Reward: 1, LR: 0.00135
[2023-12-06 12:48:38,649] Epoch: 201, MSE: 0.7828053832054138, Reward: 1, LR: 0.00134
[2023-12-06 12:48:52,362] Epoch: 202, MSE: 0.8330497741699219, Reward: -1, LR: 0.00133
[2023-12-06 12:49:03,184] Epoch: 203, MSE: 0.7828185558319092, Reward: 1, LR: 0.00131
[2023-12-06 12:49:16,142] Epoch: 204, MSE: 0.7848873138427734, Reward: 1, LR: 0.00130
[2023-12-06 12:49:32,012] Epoch: 205, MSE: 0.833308756351471, Reward: -1, LR: 0.00129
[2023-12-06 12:49:42,560] Epoch: 206, MSE: 0.8399213552474976, Reward: -1, LR: 0.00127
[2023-12-06 12:49:53,270] Epoch: 207, MSE: 0.7818372249603271, Reward: 1, LR: 0.00126
[2023-12-06 12:50:03,549] Epoch: 208, MSE: 0.7820435762405396, Reward: 1, LR: 0.00125
[2023-12-06 12:50:14,264] Epoch: 209, MSE: 0.7838938236236572, Reward: 1, LR: 0.00124
[2023-12-06 12:50:33,594] Epoch: 210, MSE: 0.8324481248855591, Reward: -1, LR: 0.00122
[2023-12-06 12:50:46,450] Epoch: 211, MSE: 0.7848289012908936, Reward: 1, LR: 0.00121
[2023-12-06 12:50:56,927] Epoch: 212, MSE: 0.7816295027732849, Reward: 1, LR: 0.00120
[2023-12-06 12:51:12,672] Epoch: 213, MSE: 0.8372469544410706, Reward: -1, LR: 0.00119
[2023-12-06 12:51:23,673] Epoch: 214, MSE: 0.7828191518783569, Reward: 1, LR: 0.00118
[2023-12-06 12:51:34,338] Epoch: 215, MSE: 0.8358993530273438, Reward: -1, LR: 0.00116
[2023-12-06 12:51:45,861] Epoch: 216, MSE: 0.838729977607727, Reward: -1, LR: 0.00115
[2023-12-06 12:51:59,009] Epoch: 217, MSE: 0.7837978005409241, Reward: 1, LR: 0.00114
[2023-12-06 12:52:10,300] Epoch: 218, MSE: 0.8379865884780884, Reward: -1, LR: 0.00113
[2023-12-06 12:52:21,014] Epoch: 219, MSE: 0.7817100882530212, Reward: 1, LR: 0.00112
[2023-12-06 12:52:41,009] Epoch: 220, MSE: 0.8294312357902527, Reward: -1, LR: 0.00111
[2023-12-06 12:52:53,681] Epoch: 221, MSE: 0.7857881188392639, Reward: 1, LR: 0.00110
[2023-12-06 12:53:04,714] Epoch: 222, MSE: 0.8375647664070129, Reward: -1, LR: 0.00108
[2023-12-06 12:53:19,647] Epoch: 223, MSE: 0.7859267592430115, Reward: 1, LR: 0.00107
[2023-12-06 12:53:30,251] Epoch: 224, MSE: 0.8365497589111328, Reward: -1, LR: 0.00106
[2023-12-06 12:53:41,198] Epoch: 225, MSE: 0.8346711993217468, Reward: -1, LR: 0.00105
[2023-12-06 12:53:55,910] Epoch: 226, MSE: 0.7893800735473633, Reward: 1, LR: 0.00104
[2023-12-06 12:54:13,969] Epoch: 227, MSE: 0.8328651785850525, Reward: -1, LR: 0.00103
[2023-12-06 12:54:27,026] Epoch: 228, MSE: 0.831500768661499, Reward: -1, LR: 0.00102
[2023-12-06 12:54:37,671] Epoch: 229, MSE: 0.7833974361419678, Reward: 1, LR: 0.00101
[2023-12-06 12:54:48,438] Epoch: 230, MSE: 0.8325158953666687, Reward: -1, LR: 0.00100
[2023-12-06 12:55:03,742] Epoch: 231, MSE: 0.7872958779335022, Reward: 1, LR: 0.00099
